time,depth
16074.332171893146,121.21227115289463
16167.247386759582,121.5010801880798
16260.162601626016,121.76700376035923
16353.077816492452,121.76700376035923
16445.993031358885,121.76700376035923
16538.908246225317,121.76700376035923
16631.823461091753,121.63528977482466
16724.73867595819,121.5136859436098
16817.653890824622,121.5136859436098
16910.56910569106,120.95908435186509
17003.48432055749,120.72269063281755
17096.399535423927,119.78371135993875
17189.31475029036,118.84017037560075
17282.229965156796,117.72577027505608
17375.145180023228,117.00062250880339
17468.060394889664,115.33381730793302
17560.975609756097,114.1555783940119
17653.890824622533,113.38059075360884
17746.806039488965,112.0168167962462
17839.7212543554,110.74504893957209
17932.636469221834,109.41679890560876
18025.55168408827,108.59439791668557
18118.466898954703,106.80729661969394
18211.38211382114,105.47932014059415
18304.297328687575,104.4950046175804
18397.212543554007,102.87302640126366
18490.12775842044,101.0283451494822
18583.042973286876,99.58191795139797
18675.95818815331,98.34061135371178
18768.873403019745,96.43433121997823
18861.78861788618,94.77166754094539
18954.703832752613,93.78235298915926
19047.619047619046,92.45265344357105
19140.534262485482,89.95618469834852
19233.449477351915,88.60891754610513
19326.36469221835,87.63954598964928
19419.279907084787,85.98957830743994
19512.19512195122,83.7451997425064
19605.110336817655,82.69471084585305
19698.025551684088,81.40602681976398
19790.94076655052,79.5756177650311
19883.855981416957,78.20510122309554
19976.771196283393,77.18093973704259
20069.686411149825,74.96884650069686
20162.601626016258,73.28781069563826
20255.516840882694,72.0772999853737
20348.43205574913,70.65353491374782
20441.347270615563,69.15241760080308
20534.262485482,67.45141639024929
20627.17770034843,66.5192250875786
20720.092915214864,64.88372093023256
20813.008130081304,63.170862694679975
20905.923344947736,62.16244645042839
20998.83855981417,60.900505952827785
21091.753774680605,59.44623276470487
21184.668989547037,58.12648597242036
21277.58420441347,57.39851382964084
21370.49941927991,56.04651162790698
21463.414634146342,54.66480535549986
21556.329849012778,53.94468198514502
21649.24506387921,53.07497943936347
21742.160278745643,51.94384222338952
21835.075493612076,50.69658579068408
21927.990708478515,49.9056210240901
22020.905923344948,49.27279016550477
22113.821138211384,48.38918196002674
22206.736353077817,47.998101566207865
22299.65156794425,47.512623568736224
22392.56678281068,46.976744186046524
22485.48199767712,46.560789660668675
22578.397212543554,46.15517336319083
22671.31242740999,45.61451618647388
22764.227642276423,45.13110349300472
22857.142857142855,44.750504320024355
22950.05807200929,44.371683529833305
23042.973286875727,44.371683529833305
23135.88850174216,44.653820598006654
23228.803716608596,44.79852636426433
23321.71893147503,44.79852636426433
23414.63414634146,44.79852636426433
23507.549361207897,45.008074935400515
23600.464576074333,45.348837209302324
23693.379790940766,45.348837209302324
23786.295005807202,45.7919050868812
23879.210220673634,46.09925208574872
