Age_Ma,LT_reconstructed
-1.541000000000000227e+02,-1.415458085171333380e+02
-1.540800000000000125e+02,-1.416321313660672274e+02
-1.540600000000000023e+02,-1.417176492592965644e+02
-1.540400000000000205e+02,-1.418023659135918138e+02
-1.540200000000000102e+02,-1.418862850457240086e+02
-1.540000000000000000e+02,-1.419694103724636705e+02
-1.539800000000000182e+02,-1.420517456105813494e+02
-1.539600000000000080e+02,-1.421332944768480218e+02
-1.539399999999999977e+02,-1.422140606880341522e+02
-1.539200000000000159e+02,-1.422940479609104614e+02
-1.539000000000000057e+02,-1.423732600122478118e+02
-1.538800000000000239e+02,-1.424517005588166398e+02
-1.538600000000000136e+02,-1.425293733173878650e+02
-1.538400000000000034e+02,-1.426062820047320656e+02
-1.538200000000000216e+02,-1.426824303376197918e+02
-1.538000000000000114e+02,-1.427578220328220198e+02
-1.537800000000000011e+02,-1.428324608071093280e+02
-1.537600000000000193e+02,-1.429063503772522665e+02
-1.537400000000000091e+02,-1.429794944600216695e+02
-1.537199999999999989e+02,-1.430518967721882575e+02
-1.537000000000000171e+02,-1.431235610305225521e+02
-1.536800000000000068e+02,-1.431944909517954159e+02
-1.536600000000000250e+02,-1.432646902527773989e+02
-1.536400000000000148e+02,-1.433341626502393353e+02
-1.536200000000000045e+02,-1.434029118609518321e+02
-1.536000000000000227e+02,-1.434709416016855243e+02
-1.535800000000000125e+02,-1.435382555892111611e+02
-1.535600000000000023e+02,-1.436048575402994913e+02
-1.535400000000000205e+02,-1.436707511717210934e+02
-1.535200000000000102e+02,-1.437359402002467164e+02
-1.535000000000000000e+02,-1.438004283426471090e+02
-1.534800000000000182e+02,-1.438642193156927647e+02
-1.534600000000000080e+02,-1.439273168361545743e+02
-1.534399999999999977e+02,-1.439897246208031731e+02
-1.534200000000000159e+02,-1.440514463864091397e+02
-1.534000000000000057e+02,-1.441124858497433365e+02
-1.533800000000000239e+02,-1.441728467275762853e+02
-1.533600000000000136e+02,-1.442325327366788486e+02
-1.533400000000000034e+02,-1.442915475938216048e+02
-1.533200000000000216e+02,-1.443498950157752176e+02
-1.533000000000000114e+02,-1.444075787193104645e+02
-1.532800000000000011e+02,-1.444646011415471492e+02
-1.532600000000000193e+02,-1.445209596010015218e+02
-1.532400000000000091e+02,-1.445766501365391434e+02
-1.532199999999999989e+02,-1.446316687870253759e+02
-1.532000000000000171e+02,-1.446860115913255527e+02
-1.531800000000000068e+02,-1.447396745883054052e+02
-1.531600000000000250e+02,-1.447926538168301533e+02
-1.531400000000000148e+02,-1.448449453157653579e+02
-1.531200000000000045e+02,-1.448965451239764946e+02
-1.531000000000000227e+02,-1.449474492803288683e+02
-1.530800000000000125e+02,-1.449976538236880970e+02
-1.530600000000000023e+02,-1.450471547929195424e+02
-1.530400000000000205e+02,-1.450959482268885665e+02
-1.530200000000000102e+02,-1.451440301644608724e+02
-1.530000000000000000e+02,-1.451913966445016513e+02
-1.529800000000000182e+02,-1.452380437058764642e+02
-1.529600000000000080e+02,-1.452839673874507582e+02
-1.529399999999999977e+02,-1.453291637280900090e+02
-1.529200000000000159e+02,-1.453736287666595786e+02
-1.529000000000000057e+02,-1.454173585420249992e+02
-1.528800000000000239e+02,-1.454603490930516614e+02
-1.528600000000000136e+02,-1.455025964586050975e+02
-1.528400000000000034e+02,-1.455440966775506695e+02
-1.528200000000000216e+02,-1.455848457887538530e+02
-1.528000000000000114e+02,-1.456248398310801520e+02
-1.527800000000000011e+02,-1.456640748433949852e+02
-1.527600000000000193e+02,-1.457025468645636863e+02
-1.527400000000000091e+02,-1.457402519334518729e+02
-1.527199999999999989e+02,-1.457771860889249638e+02
-1.527000000000000171e+02,-1.458133453698482924e+02
-1.526800000000000068e+02,-1.458487258150874482e+02
-1.526600000000000250e+02,-1.458833234635077076e+02
-1.526400000000000148e+02,-1.459171343539747454e+02
-1.526200000000000045e+02,-1.459501545253539234e+02
-1.526000000000000227e+02,-1.459823800165105752e+02
-1.525800000000000125e+02,-1.460138068663103184e+02
-1.525600000000000023e+02,-1.460444311136184865e+02
-1.525400000000000205e+02,-1.460742487973005552e+02
-1.525200000000000102e+02,-1.461032559562219717e+02
-1.525000000000000000e+02,-1.461314486292482400e+02
-1.524800000000000182e+02,-1.461588228552447219e+02
-1.524600000000000080e+02,-1.461853746730769785e+02
-1.524399999999999977e+02,-1.462111001216104000e+02
-1.524200000000000159e+02,-1.462359952397103200e+02
-1.524000000000000057e+02,-1.462600560662424130e+02
-1.523800000000000239e+02,-1.462832786400719556e+02
-1.523600000000000136e+02,-1.463056590000644803e+02
-1.523400000000000034e+02,-1.463271931850854060e+02
-1.523200000000000216e+02,-1.463478772340002081e+02
-1.523000000000000114e+02,-1.463677071856742771e+02
-1.522800000000000011e+02,-1.463866790789731169e+02
-1.522600000000000193e+02,-1.464047889527621464e+02
-1.522400000000000091e+02,-1.464220328459068696e+02
-1.522199999999999989e+02,-1.464384067972727337e+02
-1.522000000000000171e+02,-1.464539068457250721e+02
-1.521800000000000068e+02,-1.464685290301294458e+02
-1.521600000000000250e+02,-1.464822693893512167e+02
-1.521400000000000148e+02,-1.464951239622559456e+02
-1.521200000000000045e+02,-1.465070887877090513e+02
-1.521000000000000227e+02,-1.465181599045758674e+02
-1.520800000000000125e+02,-1.465283333517220115e+02
-1.520600000000000023e+02,-1.465376051680128739e+02
-1.520400000000000205e+02,-1.465459713923138168e+02
-1.520200000000000102e+02,-1.465534280634903723e+02
-1.520000000000000000e+02,-1.465599712204080163e+02
-1.519800000000000182e+02,-1.465655969019321105e+02
-1.519600000000000080e+02,-1.465703011469281876e+02
-1.519399999999999977e+02,-1.465740799942616093e+02
-1.519200000000000159e+02,-1.465769294827979650e+02
-1.519000000000000057e+02,-1.465788456514025597e+02
-1.518800000000000239e+02,-1.465798245389409544e+02
-1.518600000000000136e+02,-1.465798621842784257e+02
-1.518400000000000034e+02,-1.465789546262806198e+02
-1.518200000000000216e+02,-1.465770979038129269e+02
-1.518000000000000114e+02,-1.465742880557407659e+02
-1.517800000000000011e+02,-1.465705211209295555e+02
-1.517600000000000193e+02,-1.465657931382448282e+02
-1.517400000000000091e+02,-1.465601001465519744e+02
-1.517199999999999989e+02,-1.465534381847164696e+02
-1.517000000000000171e+02,-1.465458032916037041e+02
-1.516800000000000068e+02,-1.465371915060792674e+02
-1.516600000000000250e+02,-1.465275988670084359e+02
-1.516400000000000148e+02,-1.465170214132568276e+02
-1.516200000000000045e+02,-1.465054551836897758e+02
-1.516000000000000227e+02,-1.464928962171727278e+02
-1.515800000000000125e+02,-1.464793405525711592e+02
-1.515600000000000023e+02,-1.464647842287505739e+02
-1.515400000000000205e+02,-1.464492232845763908e+02
-1.515200000000000102e+02,-1.464326537589140003e+02
-1.515000000000000000e+02,-1.464150716906288494e+02
-1.514800000000000182e+02,-1.463964731185865276e+02
-1.514600000000000080e+02,-1.463768540816523398e+02
-1.514399999999999977e+02,-1.463562106186917617e+02
-1.514200000000000159e+02,-1.463345387685703258e+02
-1.514000000000000057e+02,-1.463118345701533940e+02
-1.513800000000000239e+02,-1.462880940623064703e+02
-1.513600000000000136e+02,-1.462633132838949166e+02
-1.513400000000000034e+02,-1.462374882737842938e+02
-1.513200000000000216e+02,-1.462106150708399923e+02
-1.513000000000000114e+02,-1.461826897139274593e+02
-1.512800000000000011e+02,-1.461537082419121418e+02
-1.512600000000000193e+02,-1.461236666936595157e+02
-1.512400000000000091e+02,-1.460925611080350563e+02
-1.512199999999999989e+02,-1.460603875239041258e+02
-1.512000000000000171e+02,-1.460271419801322281e+02
-1.511800000000000068e+02,-1.459928205155848389e+02
-1.511600000000000250e+02,-1.459574191691273768e+02
-1.511400000000000148e+02,-1.459209339796252038e+02
-1.511200000000000045e+02,-1.458833609859439377e+02
-1.511000000000000227e+02,-1.458446962269489404e+02
-1.510800000000000125e+02,-1.458049357415056591e+02
-1.510600000000000023e+02,-1.457640755684795124e+02
-1.510400000000000205e+02,-1.457221117467360614e+02
-1.510200000000000102e+02,-1.456790403151406110e+02
-1.510000000000000000e+02,-1.456348573125586938e+02
-1.509800000000000182e+02,-1.455895587778557854e+02
-1.509600000000000080e+02,-1.455431407498972760e+02
-1.509399999999999977e+02,-1.454955992675486129e+02
-1.509200000000000159e+02,-1.454469303696753570e+02
-1.509000000000000057e+02,-1.453971300951427281e+02
